Year,Location,acres harvested,acres planted
2001,ACADIA,"42,000","44,000"
2001,ALLEN,"2,400","2,600"
2001,AVOYELLES,"52,500","55,000"
2001,BOSSIER,"6,500","6,900"
2001,CADDO,"9,200","9,500"
2001,CATAHOULA,"33,000","35,000"
2001,CONCORDIA,"35,000","37,000"
2001,EAST CARROLL,"48,500","51,000"
2001,EVANGELINE,"13,500","14,500"
2001,FRANKLIN,"17,000","17,500"
2001,IBERVILLE,"9,900","10,100"
2001,JEFFERSON DAVIS,"19,000","19,700"
2001,LAFAYETTE,"6,500","6,800"
2001,MADISON,"32,500","34,000"
2001,MOREHOUSE,"27,000","28,000"
2001,NATCHITOCHES,"14,700","15,000"
2001,OTHER (COMBINED) COUNTIES,"3,500","4,000"
2001,OTHER (COMBINED) COUNTIES,"2,100","2,200"
2001,OTHER (COMBINED) COUNTIES,"4,300","4,600"
2001,OTHER (COMBINED) COUNTIES,"1,600","1,700"
2001,OTHER (COMBINED) COUNTIES,"5,100","5,800"
2001,OUACHITA,"6,300","6,600"
2001,POINTE COUPEE,"61,000","64,000"
2001,RAPIDES,"15,500","16,000"
2001,RICHLAND,"10,500","11,000"
2001,SAINT LANDRY,"82,000","86,000"
2001,SAINT MARTIN,"7,000","7,400"
2001,TENSAS,"11,500","12,000"
2001,VERMILION,"7,500","7,900"
2001,WEST BATON ROUGE,"7,000","7,500"
2001,WEST CARROLL,"13,000","13,500"
2002,ACADIA,"38,500","46,000"
2002,ALLEN,"1,300","1,600"
2002,AVOYELLES,"59,000","69,000"
2002,BEAUREGARD,"2,700","4,000"
2002,BOSSIER,"6,000","7,300"
2002,CADDO,"7,100","8,500"
2002,CALCASIEU,"1,100","2,200"
2002,CALDWELL,"2,800","4,900"
2002,CAMERON,"1,300","1,500"
2002,CATAHOULA,"36,500","45,000"
2002,CONCORDIA,"58,000","73,000"
2002,EAST CARROLL,"64,000","71,000"
2002,EVANGELINE,"12,000","15,000"
2002,FRANKLIN,"21,000","29,000"
2002,GRANT,"5,500","6,500"
2002,IBERVILLE,"7,200","8,700"
2002,JEFFERSON DAVIS,"13,900","19,600"
2002,LAFAYETTE,"5,300","6,900"
2002,MADISON,"47,000","55,000"
2002,MOREHOUSE,"30,000","37,000"
2002,NATCHITOCHES,"11,500","15,500"
2002,OTHER (COMBINED) COUNTIES,500,500
2002,OTHER (COMBINED) COUNTIES,600,700
2002,OTHER (COMBINED) COUNTIES,500,500
2002,OTHER (COMBINED) COUNTIES,"1,500","1,700"
2002,OTHER (COMBINED) COUNTIES,400,500
2002,OUACHITA,"6,200","9,600"
2002,POINTE COUPEE,"58,000","63,000"
2002,RAPIDES,"13,500","18,000"
2002,RED RIVER,"4,400","4,700"
2002,RICHLAND,"19,000","25,000"
2002,SAINT LANDRY,"71,500","86,000"
2002,SAINT MARTIN,"6,000","6,700"
2002,TENSAS,"18,000","22,000"
2002,VERMILION,"4,200","6,100"
2002,WEST BATON ROUGE,"5,500","6,000"
2002,WEST CARROLL,"16,000","19,000"
2002,WEST FELICIANA,"2,500","2,800"
2003,ACADIA,"19,500","22,000"
2003,ALLEN,"2,500","2,700"
2003,AVOYELLES,"59,500","62,000"
2003,BEAUREGARD,"3,200","3,400"
2003,BOSSIER,"5,800","5,900"
2003,CADDO,"5,900","6,000"
2003,CALDWELL,"4,300","4,500"
2003,CATAHOULA,"50,000","51,000"
2003,CONCORDIA,"81,000","82,000"
2003,EAST CARROLL,"76,000","77,000"
2003,EVANGELINE,"17,000","17,500"
2003,FRANKLIN,"37,000","38,000"
2003,GRANT,"5,600","5,800"
2003,IBERVILLE,"6,900","6,900"
2003,JEFFERSON DAVIS,"11,400","11,700"
2003,LAFAYETTE,"2,200","2,300"
2003,MADISON,"67,000","68,000"
2003,MOREHOUSE,"33,000","34,000"
2003,NATCHITOCHES,"13,300","13,500"
2003,OTHER (COMBINED) COUNTIES,"4,400","4,700"
2003,OTHER (COMBINED) COUNTIES,"2,500","2,700"
2003,OTHER (COMBINED) COUNTIES,300,300
2003,OTHER (COMBINED) COUNTIES,"1,800","1,900"
2003,OTHER (COMBINED) COUNTIES,"1,200","1,300"
2003,OTHER (COMBINED) COUNTIES,"2,800","2,900"
2003,OUACHITA,"11,200","11,500"
2003,POINTE COUPEE,"50,000","51,000"
2003,RAPIDES,"15,500","16,000"
2003,RED RIVER,"4,300","4,300"
2003,RICHLAND,"25,700","26,000"
2003,SAINT LANDRY,"57,000","60,000"
2003,SAINT MARTIN,"3,800","3,900"
2003,TENSAS,"32,500","33,000"
2003,VERMILION,"2,100","2,300"
2003,WEST CARROLL,"23,800","24,000"
2004,ACADIA,"34,500","55,000"
2004,ALLEN,"4,300","6,400"
2004,AVOYELLES,"62,500","69,000"
2004,BEAUREGARD,"4,800","6,000"
2004,BOSSIER,"6,200","6,400"
2004,CADDO,"8,900","9,000"
2004,CALCASIEU,"2,700","3,600"
2004,CALDWELL,"4,300","4,700"
2004,CAMERON,"2,100","3,500"
2004,CATAHOULA,"73,000","79,000"
2004,CONCORDIA,"85,500","93,000"
2004,EAST CARROLL,"91,000","92,000"
2004,EVANGELINE,"23,500","27,300"
2004,FRANKLIN,"63,000","64,000"
2004,GRANT,"6,400","6,700"
2004,IBERIA,"5,000","5,100"
2004,IBERVILLE,"10,100","10,600"
2004,JEFFERSON DAVIS,"30,600","35,800"
2004,LAFAYETTE,"1,900","6,700"
2004,MADISON,"70,000","72,000"
2004,MOREHOUSE,"57,000","59,000"
2004,NATCHITOCHES,"22,300","23,000"
2004,OTHER (COMBINED) COUNTIES,300,300
2004,OTHER (COMBINED) COUNTIES,"1,700","1,800"
2004,OTHER (COMBINED) COUNTIES,800,900
2004,OTHER (COMBINED) COUNTIES,"3,100","3,300"
2004,OTHER (COMBINED) COUNTIES,"2,100","2,300"
2004,OUACHITA,"14,000","16,000"
2004,POINTE COUPEE,"63,000","71,000"
2004,RAPIDES,"20,000","23,000"
2004,RED RIVER,"6,100","6,300"
2004,RICHLAND,"49,000","50,000"
2004,SAINT LANDRY,"66,500","80,000"
2004,SAINT MARTIN,"3,500","7,800"
2004,TENSAS,"40,000","41,000"
2004,VERMILION,"4,000","10,700"
2004,WEST BATON ROUGE,"7,300","7,700"
2004,WEST CARROLL,"37,000","38,000"
2004,WEST FELICIANA,"2,000","2,100"
2005,ACADIA,"17,000","18,600"
2005,AVOYELLES,"66,500","68,000"
2005,BEAUREGARD,"2,500","2,900"
